"medal_no","user_id","latitude","longitude","is_deleted","deleted_at","created_at","updated_at"
"29","bb8c6066-a670-4862-bb30-4c936d20a246","35.46462652","139.60823584",False,NULL,"2025-11-15 06:51:05.504814+00","2025-11-15 06:51:05.504814+00"
"30","bb8c6066-a670-4862-bb30-4c936d20a246","35.45821434","139.61548049",False,NULL,"2025-11-15 07:10:12.194659+00","2025-11-15 07:10:12.194659+00"
"31","bb8c6066-a670-4862-bb30-4c936d20a246","35.45983211","139.61543078",False,NULL,"2025-11-15 07:12:58.012846+00","2025-11-15 07:12:58.012846+00"
"32","bb8c6066-a670-4862-bb30-4c936d20a246","35.46221377","139.62055612",False,NULL,"2025-11-15 07:24:40.48623+00","2025-11-15 07:24:40.48623+00"
"33","bb8c6066-a670-4862-bb30-4c936d20a246","35.46513053","139.62626776",False,NULL,"2025-11-15 07:39:37.413623+00","2025-11-15 07:39:37.413623+00"
"34","bb8c6066-a670-4862-bb30-4c936d20a246","35.46993556","139.62728609",False,NULL,"2025-11-15 07:50:10.462906+00","2025-11-15 07:50:10.462906+00"
"35","bb8c6066-a670-4862-bb30-4c936d20a246","35.47138184","139.62629708",False,NULL,"2025-11-15 07:53:09.100679+00","2025-11-15 07:53:09.100679+00"
"36","bb8c6066-a670-4862-bb30-4c936d20a246","35.47048097","139.62578058",False,NULL,"2025-11-15 07:53:33.708331+00","2025-11-15 07:53:33.708331+00"
"38","bb8c6066-a670-4862-bb30-4c936d20a246","35.46969513","139.62331295",False,NULL,"2025-11-15 08:04:27.447716+00","2025-11-15 08:04:27.447716+00"
"39","bb8c6066-a670-4862-bb30-4c936d20a246","35.46797127","139.61748388",False,NULL,"2025-11-15 08:28:08.047434+00","2025-11-15 08:28:08.047434+00"
"40","bb8c6066-a670-4862-bb30-4c936d20a246","35.47068776","139.61989857",False,NULL,"2025-11-15 08:39:06.929829+00","2025-11-15 08:39:06.929829+00"
"41","bb8c6066-a670-4862-bb30-4c936d20a246","35.47227297","139.61778644",False,NULL,"2025-11-15 08:42:57.229609+00","2025-11-15 08:42:57.229609+00"
"42","bb8c6066-a670-4862-bb30-4c936d20a246","35.47102621","139.61520215",False,NULL,"2025-11-15 08:44:59.899221+00","2025-11-15 08:44:59.899221+00"
"43","bb8c6066-a670-4862-bb30-4c936d20a246","35.47033695","139.61216144",False,NULL,"2025-11-15 08:52:20.304627+00","2025-11-15 08:52:20.304627+00"
"44","bb8c6066-a670-4862-bb30-4c936d20a246","35.46933476","139.60910060",False,NULL,"2025-11-15 08:58:38.784185+00","2025-11-15 08:58:38.784185+00"
"48","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46459762","139.60424650",False,NULL,"2025-11-16 00:40:38.086209+00","2025-11-16 00:40:38.086209+00"
"50","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46267201","139.60218722",False,NULL,"2025-11-16 00:49:17.88307+00","2025-11-16 00:49:17.88307+00"
"51","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45269122","139.60009907",False,NULL,"2025-11-16 01:28:03.475381+00","2025-11-16 01:28:03.475381+00"
"52","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45143755","139.59738989",False,NULL,"2025-11-16 01:36:57.788216+00","2025-11-16 01:36:57.788216+00"
"53","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45359861","139.58973801",False,NULL,"2025-11-16 01:53:06.782706+00","2025-11-16 01:53:06.782706+00"
"54","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45505082","139.59613070",False,NULL,"2025-11-16 02:03:29.4206+00","2025-11-16 02:03:29.4206+00"
"55","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45751762","139.59590579",False,NULL,"2025-11-16 02:07:38.510322+00","2025-11-16 02:07:38.510322+00"
"56","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45747709","139.59387343",False,NULL,"2025-11-16 02:11:34.128152+00","2025-11-16 02:11:34.128152+00"
"57","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45889207","139.59532692",False,NULL,"2025-11-16 02:14:38.965898+00","2025-11-16 02:14:38.965898+00"
"58","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.45945068","139.59076855",False,NULL,"2025-11-16 02:21:59.992196+00","2025-11-16 02:21:59.992196+00"
"59","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46191367","139.59339965",False,NULL,"2025-11-16 02:28:02.915313+00","2025-11-16 02:28:02.915313+00"
"60","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46480183","139.59359303",False,NULL,"2025-11-16 02:36:17.111035+00","2025-11-16 02:36:17.111035+00"
"61","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46664813","139.59192818",False,NULL,"2025-11-16 02:43:39.472996+00","2025-11-16 02:43:39.472996+00"
"62","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46853687","139.59049681",False,NULL,"2025-11-16 02:49:28.328236+00","2025-11-16 02:49:28.328236+00"
"63","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46898236","139.58814650",False,NULL,"2025-11-16 02:52:58.320988+00","2025-11-16 02:52:58.320988+00"
"64","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47135442","139.58721731",False,NULL,"2025-11-16 02:58:46.769717+00","2025-11-16 02:58:46.769717+00"
"65","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46961484","139.58513661",False,NULL,"2025-11-16 03:04:52.725883+00","2025-11-16 03:04:52.725883+00"
"66","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47092206","139.58502086",False,NULL,"2025-11-16 03:06:10.234065+00","2025-11-16 03:06:10.234065+00"
"67","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47103375","139.59084903",False,NULL,"2025-11-16 03:16:21.258235+00","2025-11-16 03:16:21.258235+00"
"68","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46907050","139.59272309",False,NULL,"2025-11-16 03:21:40.541081+00","2025-11-16 03:21:40.541081+00"
"69","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46771524","139.59710821",False,NULL,"2025-11-16 03:33:40.582834+00","2025-11-16 03:33:40.582834+00"
"70","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46822822","139.59913401",False,NULL,"2025-11-16 03:38:10.129912+00","2025-11-16 03:38:10.129912+00"
"71","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46657423","139.60138155",False,NULL,"2025-11-16 03:45:20.881974+00","2025-11-16 03:45:20.881974+00"
"72","bb8c6066-a670-4862-bb30-4c936d20a246","35.45882621","139.63381232",False,NULL,"2025-11-18 09:46:09.829288+00","2025-11-18 09:46:09.829288+00"
"73","bb8c6066-a670-4862-bb30-4c936d20a246","35.45954199","139.63011898",False,NULL,"2025-11-18 09:50:44.806996+00","2025-11-18 09:50:44.806996+00"
"74","bb8c6066-a670-4862-bb30-4c936d20a246","35.46504918","139.63132964",False,NULL,"2025-11-18 10:17:10.910788+00","2025-11-18 10:17:10.910788+00"
"75","bb8c6066-a670-4862-bb30-4c936d20a246","35.46523637","139.62922460",False,NULL,"2025-11-18 10:17:14.789489+00","2025-11-18 10:17:14.789489+00"
"76","bb8c6066-a670-4862-bb30-4c936d20a246","35.67253987","139.76089528",False,NULL,"2025-11-19 09:20:50.364748+00","2025-11-19 09:20:50.364748+00"
"77","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.44619898","139.59822264",False,NULL,"2025-11-22 00:46:03.16195+00","2025-11-22 00:46:03.16195+00"
"78","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.42968081","139.55968097",False,NULL,"2025-11-22 01:04:26.317487+00","2025-11-22 01:04:26.317487+00"
"79","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.43226077","139.55990299",False,NULL,"2025-11-22 01:08:02.432511+00","2025-11-22 01:08:02.432511+00"
"80","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.43678100","139.56290165",False,NULL,"2025-11-22 01:19:12.172241+00","2025-11-22 01:19:12.172241+00"
"81","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.43769154","139.56358362",False,NULL,"2025-11-22 01:21:21.442361+00","2025-11-22 01:21:21.442361+00"
"82","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.43554587","139.56625417",False,NULL,"2025-11-22 01:27:33.290068+00","2025-11-22 01:27:33.290068+00"
"83","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.43466041","139.56644777",False,NULL,"2025-11-22 01:28:54.186155+00","2025-11-22 01:28:54.186155+00"
"84","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.43733701","139.58117726",False,NULL,"2025-11-22 01:50:45.345321+00","2025-11-22 01:50:45.345321+00"
"85","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.43949085","139.58444282",False,NULL,"2025-11-22 02:01:05.638593+00","2025-11-22 02:01:05.638593+00"
"86","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.44146809","139.58878011",False,NULL,"2025-11-22 02:08:06.346995+00","2025-11-22 02:08:06.346995+00"
"87","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.44191196","139.59027824",False,NULL,"2025-11-22 02:10:19.846453+00","2025-11-22 02:10:19.846453+00"
"88","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.44186536","139.59138262",False,NULL,"2025-11-22 02:11:52.204249+00","2025-11-22 02:11:52.204249+00"
"89","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47270590","139.60371400",False,NULL,"2025-11-23 07:55:16.510404+00","2025-11-23 07:55:16.510404+00"
"90","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47335130","139.60553201",False,NULL,"2025-11-23 08:00:57.493266+00","2025-11-23 08:00:57.493266+00"
"91","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47272024","139.60784346",False,NULL,"2025-11-23 08:05:30.575575+00","2025-11-23 08:05:30.575575+00"
"92","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47325011","139.60929128",False,NULL,"2025-11-23 08:08:45.489683+00","2025-11-23 08:08:45.489683+00"
"93","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47464560","139.61345195",False,NULL,"2025-11-23 08:15:19.65905+00","2025-11-23 08:15:19.65905+00"
"95","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47789261","139.61246462",False,NULL,"2025-11-23 08:23:36.515661+00","2025-11-23 08:23:36.515661+00"
"96","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47844005","139.61167775",False,NULL,"2025-11-23 08:25:01.178873+00","2025-11-23 08:25:01.178873+00"
"97","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47971728","139.61001458",False,NULL,"2025-11-23 08:31:47.006154+00","2025-11-23 08:31:47.006154+00"
"98","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47991909","139.61333398",False,NULL,"2025-11-23 08:38:43.600888+00","2025-11-23 08:38:43.600888+00"
"99","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48233826","139.61321856",False,NULL,"2025-11-23 08:44:00.396603+00","2025-11-23 08:44:00.396603+00"
"101","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48422007","139.61308031",False,NULL,"2025-11-23 08:49:39.299022+00","2025-11-23 08:49:39.299022+00"
"102","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48664367","139.61165456",False,NULL,"2025-11-23 08:56:03.211711+00","2025-11-23 08:56:03.211711+00"
"103","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48761226","139.60814278",False,NULL,"2025-11-23 09:02:23.283882+00","2025-11-23 09:02:23.283882+00"
"104","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48653745","139.60840220",False,NULL,"2025-11-23 09:03:53.077352+00","2025-11-23 09:03:53.077352+00"
"105","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48519648","139.60723674",False,NULL,"2025-11-23 09:07:40.501155+00","2025-11-23 09:07:40.501155+00"
"106","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48206116","139.60182704",False,NULL,"2025-11-23 09:16:50.290338+00","2025-11-23 09:16:50.290338+00"
"107","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.48147915","139.60243457",False,NULL,"2025-11-23 09:18:15.218292+00","2025-11-23 09:18:15.218292+00"
"108","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47841843","139.60216727",False,NULL,"2025-11-23 09:22:07.378844+00","2025-11-23 09:22:07.378844+00"
"109","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47249863","139.59723122",False,NULL,"2025-11-24 09:03:04.707169+00","2025-11-24 09:03:04.707169+00"
"110","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47939506","139.59371873",False,NULL,"2025-11-24 09:14:37.354095+00","2025-11-24 09:14:37.354095+00"
"111","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47818329","139.59641766",False,NULL,"2025-11-24 09:17:54.050157+00","2025-11-24 09:17:54.050157+00"
"112","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47910847","139.57676780",False,NULL,"2025-11-24 10:02:06.406245+00","2025-11-24 10:02:06.406245+00"
"113","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47681013","139.57548004",False,NULL,"2025-11-24 10:06:14.888709+00","2025-11-24 10:06:14.888709+00"
"114","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47112956","139.57640804",False,NULL,"2025-11-24 10:14:13.259018+00","2025-11-24 10:14:13.259018+00"
"116","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46899539","139.57596264",False,NULL,"2025-11-24 10:18:07.572595+00","2025-11-24 10:18:07.572595+00"
"117","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46935021","139.57470389",False,NULL,"2025-11-24 10:20:24.293783+00","2025-11-24 10:20:24.293783+00"
"119","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47032665","139.57365482",False,NULL,"2025-11-24 10:22:29.629886+00","2025-11-24 10:22:29.629886+00"
"120","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.47133697","139.57425984",False,NULL,"2025-11-24 10:23:48.57233+00","2025-11-24 10:23:48.57233+00"
"121","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46805671","139.57966680",False,NULL,"2025-11-24 10:36:36.655373+00","2025-11-24 10:36:36.655373+00"
"122","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46668540","139.58333670",False,NULL,"2025-11-24 10:45:39.159327+00","2025-11-24 10:45:39.159327+00"
"123","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46687768","139.58493433",False,NULL,"2025-11-24 10:50:27.658083+00","2025-11-24 10:50:27.658083+00"
"124","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.46608085","139.58605207",False,NULL,"2025-11-24 10:51:53.086915+00","2025-11-24 10:51:53.086915+00"
"126","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.67386806","139.72733755",False,NULL,"2025-11-25 08:36:32.522367+00","2025-11-25 08:36:32.522367+00"
"127","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.67384471","139.72783016",False,NULL,"2025-11-25 08:36:36.366868+00","2025-11-25 08:36:36.366868+00"
"128","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.67441791","139.73199553",False,NULL,"2025-11-25 08:42:50.110524+00","2025-11-25 08:42:50.110524+00"
"129","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.67284723","139.73129356",False,NULL,"2025-11-25 08:46:14.888014+00","2025-11-25 08:46:14.888014+00"
"130","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.67025377","139.73039973",False,NULL,"2025-11-25 08:51:20.268081+00","2025-11-25 08:51:20.268081+00"
"131","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.67159841","139.73713539",False,NULL,"2025-11-25 09:05:50.352972+00","2025-11-25 09:05:50.352972+00"
"132","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66999454","139.73803597",False,NULL,"2025-11-25 09:08:10.717284+00","2025-11-25 09:08:10.717284+00"
"133","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66938526","139.73754044",False,NULL,"2025-11-25 09:11:01.101765+00","2025-11-25 09:11:01.101765+00"
"134","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66953626","139.71649295",False,NULL,"2025-11-26 08:14:25.86614+00","2025-11-26 08:14:25.86614+00"
"135","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66958026","139.71620546",False,NULL,"2025-11-26 08:15:07.662031+00","2025-11-26 08:15:07.662031+00"
"136","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66853215","139.71564715",False,NULL,"2025-11-26 08:16:28.724741+00","2025-11-26 08:16:28.724741+00"
"137","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66717480","139.71401388",False,NULL,"2025-11-26 08:19:48.437784+00","2025-11-26 08:19:48.437784+00"
"138","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66406112","139.71197218",False,NULL,"2025-11-26 08:24:08.55483+00","2025-11-26 08:24:08.55483+00"
"139","ebee3c46-8b6a-4d2c-9198-3b3fbbd3be21","35.66015203","139.70695274",False,NULL,"2025-11-26 08:31:37.853222+00","2025-11-26 08:31:37.853222+00"
